id,timestamp,query,query_domain,result_count,avg_score,top_score,keyword_overlap,response_length,user_rating,latency_ms
ec8bf429-3125-4c5e-aa86-895441440e76,2026-05-02T20:59:12.472109+00:00,anything,personal,0,0.0,0.0,0.0,0,2,31.0
8567f51b-4d2c-460d-87b2-5713a5add126,2026-05-02T20:59:16.484291+00:00,user exercise routine,health,3,0.578,0.6549,0.3333,0,2,78.0
5bce4349-dc5a-45af-83b7-e422ab72303c,2026-05-02T20:59:20.596895+00:00,music hobby,learning,1,0.6127,0.6127,0.0,0,4,47.0
b960c901-52c9-474e-a553-930067380008,2026-05-02T20:59:25.765872+00:00,health,health,3,0.7543,0.7571,1.0,0,,125.0
388112c3-fc03-4c7b-9900-8e17d59fb5e1,2026-05-02T20:59:30.770316+00:00,what is the user studying,learning,1,0.767,0.767,0.5,0,,63.0
2f0e8558-420a-412a-add7-4695b9083939,2026-05-02T21:00:09.252934+00:00,programming language the user is learning,learning,1,0.7451,0.7451,0.75,0,,47.0
d1464f06-cc47-45d6-b443-9f3cfc58b65c,2026-05-02T21:15:18.309271+00:00,hbhjk,work,5,0.412,0.5023,0.0,0,,2453.0
62b3d98f-ff8e-478e-b1a1-e810df9a4a72,2026-05-02T21:15:39.253666+00:00,hvlhjkblhvlyh,personal,3,0.5119,0.5119,0.0,0,,2187.0
0e36563f-11e4-4b80-8d4e-69f0aac210d2,2026-05-02T21:21:39.025094+00:00,anything,personal,0,0.0,0.0,0.0,0,,31.0
d0142c77-ca49-46d8-818b-c8abb8e2ba1c,2026-05-02T21:21:42.867145+00:00,user exercise routine,health,3,0.578,0.6549,0.3333,0,,78.0
6fcaff07-19b9-41c7-a658-b371ab349a7c,2026-05-02T21:21:47.587124+00:00,music hobby,learning,1,0.6127,0.6127,0.0,0,5,62.0
aee6e0e4-b2a7-46fa-8c48-f947a72e90d9,2026-05-02T21:21:51.875312+00:00,health,health,3,0.7543,0.7571,1.0,0,5,141.0
49cf223c-503b-4caa-9ad6-bba8e61f503b,2026-05-02T21:21:55.868919+00:00,what is the user studying,learning,1,0.767,0.767,0.5,0,4,47.0
525bf115-bc7c-4d19-b891-1e955cc6ff60,2026-05-02T21:22:35.188627+00:00,programming language the user is learning,learning,1,0.7451,0.7451,0.75,0,3,47.0
7f5d1e2d-3975-470f-83b1-3e1fe38fe052,2026-05-02T21:50:06.447153+00:00,user,work,10,0.5861,0.6697,1.0,0,3,2563.0
334820f7-3eab-43df-917f-792b4aa41aee,2026-05-02T21:50:30.299628+00:00,user,work,10,0.5861,0.6697,1.0,0,1,2079.0
828df32f-34ca-4297-8971-5ac2d01e52d4,2026-05-02T21:50:55.326696+00:00,user,work,8,0.6027,0.6697,1.0,0,,2094.0
32de41ec-1ac9-4100-8277-445ba6ea9892,2026-05-02T21:51:05.033535+00:00,user,work,8,0.6027,0.6697,1.0,0,,2094.0
7fb8dafa-f0dd-40bd-9a93-5954fb51654b,2026-05-03T20:38:08.084510+00:00,what am I studying,learning,2,0.4302,0.5937,0.0,0,,2469.0
5357e9d3-cdcb-4517-8dba-78b3236768d3,2026-05-03T20:38:35.642650+00:00,user,work,7,0.3772,0.516,1.0,0,,2218.0
e80bc3cb-484e-44ce-97a1-529a333482bb,2026-05-03T20:40:55.902684+00:00,programming projects,programming,1,0.5271,0.5271,0.0,0,,93.0
dd3f686c-9608-41fc-9664-70b0cc0e5662,2026-05-03T20:41:21.624325+00:00,programming projects,programming,1,0.5271,0.5271,0.0,0,,47.0
965f8d30-ff9c-4299-8996-2eea0dba19a0,2026-05-03T20:44:06.873394+00:00,user,work,7,0.3817,0.516,1.0,0,,2078.0
48004c87-80ca-4562-983b-5258e27509c3,2026-05-03T20:45:14.325768+00:00,degla,programming,2,0.754,0.754,1.0,0,,2094.0
